2006-07,21,TOR,NBA,PF,65,2,1629,267,625,.427,100,268,.373,167,357,.468,.507,117,142,.824,52,203,255,50,32,53,107,180,751
2007-08,22,TOR,NBA,PF,78,53,1861,280,725,.386,90,261,.345,190,464,.409,.448,142,169,.840,50,238,288,89,23,37,88,211,792
2008-09,23,TOR,NBA,PF,78,59,2453,431,958,.450,119,291,.409,312,667,.468,.512,221,266,.831,70,346,416,94,34,97,135,242,1202
2009-10,24,TOR,NBA,PF,80,80,2799,537,1143,.470,121,325,.372,416,818,.509,.523,181,234,.774,105,388,493,93,25,111,120,215,1376
2010-11,25,TOR,NBA,C,66,66,2353,525,1173,.448,77,223,.345,448,950,.472,.480,287,350,.820,74,269,343,119,34,46,152,160,1414
2011-12,26,TOR,NBA,C,31,31,1032,209,484,.432,34,115,.296,175,369,.474,.467,151,173,.873,24,148,172,61,18,15,69,52,603
2012-13,27,TOR,NBA,PF,35,25,1003,170,426,.399,38,123,.309,132,303,.436,.444,65,77,.844,26,102,128,38,21,23,54,64,443
2013-14,28,NYK,NBA,C,42,39,1257,222,502,.442,30,108,.278,192,394,.487,.472,84,102,.824,69,153,222,45,14,52,58,100,558
2014-15,29,NYK,NBA,C,11,4,254,48,107,.449,4,10,.400,44,97,.454,.467,35,45,.778,13,34,47,19,2,8,12,22,135
Career,,,NBA,,486,359,14641,2689,6143,.438,613,1724,.356,2076,4419,.470,.488,1283,1558,.823,483,1881,2364,608,203,442,795,1246,7274
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,TOR,NBA,,433,316,13130,2419,5534,.437,579,1606,.361,1840,3928,.468,.489,1164,1411,.825,401,1694,2095,544,187,382,725,1124,6581
2 seasons,,NYK,NBA,,53,43,1511,270,609,.443,34,118,.288,236,491,.481,.471,119,147,.810,82,187,269,64,16,60,70,122,693