Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,NBA,ATL,44,12,1,,28.0,6-6,218,,56,13490,2118,4535,.467,551,1439,.383,1567,3096,.506,975,1258,.775,481,1820,2301,1431,492,262,799,1006,5762
2013-14,NBA,ATL,38,44,4,,27.6,6-6,220,,82,19830,3061,6688,.458,768,2116,.363,2293,4572,.502,1392,1782,.781,713,2565,3278,2041,680,326,1251,1577,8282
2012-13,NBA,ATL,44,38,2,,27.1,6-6,215,,82,19855,3084,6644,.464,706,1901,.371,2378,4743,.501,1158,1619,.715,758,2593,3351,2007,664,369,1219,1473,8032
2011-12,NBA,ATL,40,26,2,,27.9,6-7,215,,66,16165,2429,5348,.454,492,1330,.370,1937,4018,.482,1025,1385,.740,652,2066,2718,1481,536,303,921,1178,6375
2010-11,NBA,ATL,44,38,3,,27.4,6-7,219,,82,19730,2971,6429,.462,502,1427,.352,2469,5002,.494,1346,1728,.779,762,2460,3222,1802,497,341,1118,1554,7790
2009-10,NBA,ATL,53,29,2,,26.5,6-7,219,,82,19855,3181,6801,.468,524,1455,.360,2657,5346,.497,1452,1914,.759,969,2451,3420,1789,592,413,980,1632,8338
2008-09,NBA,ATL,47,35,2,,25.8,6-6,219,,82,19705,2956,6451,.458,597,1633,.366,2359,4818,.490,1537,2085,.737,870,2412,3282,1657,603,376,1048,1610,8046
2007-08,NBA,ATL,37,45,3,,24.2,6-7,220,,82,19855,2975,6552,.454,384,1078,.356,2591,5474,.473,1720,2227,.772,1008,2454,3462,1804,600,448,1223,1673,8054
2006-07,NBA,ATL,30,52,5,,24.1,6-7,216,,82,19880,2831,6372,.444,341,1038,.329,2490,5334,.467,1677,2203,.761,976,2312,3288,1573,609,446,1306,1970,7680
2005-06,NBA,ATL,26,56,5,,22.7,6-7,221,,82,19880,2946,6496,.454,424,1154,.367,2522,5342,.472,1656,2207,.750,1069,2232,3301,1625,587,394,1284,2054,7972
2004-05,NBA,ATL,13,69,5,,26.0,6-7,220,,82,19855,2942,6672,.441,304,973,.312,2638,5699,.463,1417,1994,.711,1100,2335,3435,1614,629,344,1319,2009,7605
2003-04,NBA,ATL,28,54,7,,26.2,6-6,214,,82,19905,2829,6529,.433,419,1249,.335,2410,5280,.456,1534,1976,.776,996,2507,3503,1648,627,408,1350,1826,7611
2002-03,NBA,ATL,35,47,5,,27.2,6-6,215,,82,19905,2859,6434,.444,402,1141,.352,2457,5293,.464,1594,2011,.793,937,2558,3495,1679,611,473,1367,1783,7714
2001-02,NBA,ATL,33,49,6,,25.7,6-7,210,,82,19780,2901,6610,.439,423,1194,.354,2478,5416,.458,1486,1942,.765,955,2445,3400,1656,667,350,1275,1702,7711
2000-01,NBA,ATL,25,57,7,,26.1,6-6,211,,82,19730,2876,6668,.431,333,933,.357,2543,5735,.443,1374,1811,.759,1028,2490,3518,1559,634,387,1368,1863,7459
1999-00,NBA,ATL,28,54,7,,27.6,6-7,219,,82,19830,3000,6807,.441,258,814,.317,2742,5993,.458,1477,1987,.743,1146,2570,3716,1548,500,461,1266,1718,7735
1998-99,NBA,ATL,31,19,2,,29.6,6-7,216,,50,12075,1539,3760,.409,197,644,.306,1342,3116,.431,1040,1422,.731,676,1499,2175,782,346,260,745,987,4315
1997-98,NBA,ATL,50,32,4,,29.4,6-7,214,,82,19880,2887,6352,.455,337,1016,.332,2550,5336,.478,1749,2314,.756,1106,2417,3523,1569,653,491,1214,1671,7860
1996-97,NBA,ATL,56,26,2,,28.8,6-7,215,,82,19805,2812,6307,.446,659,1834,.359,2153,4473,.481,1491,1955,.763,1021,2350,3371,1557,701,427,1228,1591,7774
1995-96,NBA,ATL,46,36,4,,28.1,6-6,207,,82,19730,2985,6665,.448,566,1595,.355,2419,5070,.477,1523,2012,.757,1182,2148,3330,1609,771,319,1228,1714,8059
Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95,NBA,ATL,42,40,5,,28.2,6-6,210,,82,19855,2986,6680,.447,539,1580,.341,2447,5100,.480,1410,1948,.724,1104,2272,3376,1757,738,412,1221,1804,7921
1993-94,NBA,ATL,57,25,1,,28.7,6-7,209,,82,19755,3247,7039,.461,268,830,.323,2979,6209,.480,1556,2070,.752,1250,2423,3673,2056,915,449,1252,1625,8318
1992-93,NBA,ATL,43,39,4,,27.1,6-6,209,,82,19830,3392,7272,.466,382,1076,.355,3010,6196,.486,1648,2221,.742,1290,2344,3634,2084,806,278,1339,1807,8814
1991-92,NBA,ATL,38,44,5,,27.2,6-7,212,,82,19905,3492,7476,.467,210,671,.313,3282,6805,.482,1517,2074,.731,1288,2498,3786,2123,793,320,1255,1771,8711
1990-91,NBA,ATL,43,39,4,,29.0,6-5,198,,82,19755,3349,7223,.464,271,836,.324,3078,6387,.482,2034,2544,.800,1235,2420,3655,1864,729,374,1231,1768,9003
1989-90,NBA,ATL,41,41,6,,28.6,6-6,197,,82,19730,3417,7019,.487,124,411,.302,3293,6608,.498,1943,2544,.764,1273,2187,3460,1820,717,353,1270,1871,8901
1988-89,NBA,ATL,52,30,3,,28.5,6-6,200,,82,19805,3412,7230,.472,110,397,.277,3302,6833,.483,2168,2709,.800,1372,2316,3688,1990,817,474,1310,1880,9102
1987-88,NBA,ATL,50,32,3,,26.8,6-7,205,,82,19780,3443,7102,.485,85,282,.301,3358,6820,.492,1873,2441,.767,1228,2379,3607,2062,635,537,1225,2050,8844
1986-87,NBA,ATL,57,25,1,,26.1,6-7,207,,82,19730,3435,7141,.481,135,425,.318,3300,6716,.491,2019,2661,.759,1350,2478,3828,2077,700,511,1279,2152,9024
1985-86,NBA,ATL,50,32,2,,25.3,6-7,206,,82,19805,3447,7029,.490,33,166,.199,3414,6863,.497,1979,2704,.732,1249,2405,3654,2025,736,434,1483,2170,8906
1984-85,NBA,ATL,34,48,5,,25.5,6-7,205,,82,19855,3444,7119,.484,73,235,.311,3371,6884,.490,1782,2371,.752,1161,2345,3506,2009,665,541,1475,2047,8743
1983-84,NBA,ATL,40,42,3,,26.6,6-6,200,,82,19855,3230,6809,.474,23,106,.217,3207,6703,.478,1838,2414,.761,1112,2232,3344,1827,626,558,1329,2091,8321
1982-83,NBA,ATL,43,39,2,,26.6,6-6,198,,82,19780,3352,7146,.469,45,188,.239,3307,6958,.475,1586,2111,.751,1139,2433,3572,1945,573,665,1424,2022,8335
1981-82,NBA,ATL,42,40,2,,26.5,6-6,200,,82,19880,3210,6776,.474,28,128,.219,3182,6648,.479,1833,2387,.768,1135,2368,3503,1815,608,485,1343,2268,8281
1980-81,NBA,ATL,31,51,4,,26.8,6-5,200,,82,19930,3291,6866,.479,10,82,.122,3281,6784,.484,2012,2590,.777,1201,2224,3425,1846,749,469,1605,2276,8604
1979-80,NBA,ATL,50,32,1,,26.1,6-5,201,,82,19780,3261,7027,.464,13,75,.173,3248,6952,.467,2038,2645,.771,1369,2406,3775,1913,782,539,1495,2293,8573
1978-79,NBA,ATL,46,36,3,,24.6,6-6,202,,82,19855,3505,7410,.473,,,,3505,7410,.473,1940,2534,.766,1381,2341,3722,1938,801,596,1523,2424,8950
1977-78,NBA,ATL,41,41,4,,25.0,6-5,201,,82,19830,3335,7253,.460,,,,3335,7253,.460,1836,2316,.793,1160,2359,3519,1901,916,408,1592,2470,8506
1976-77,NBA,ATL,31,51,6,,24.5,6-6,207,,82,19705,3279,7176,.457,,,,3279,7176,.457,1836,2451,.749,1244,2512,3756,1882,733,330,1779,2302,8394
1975-76,NBA,ATL,29,53,5,,25.9,6-5,204,,82,19805,3301,7338,.450,,,,3301,7338,.450,1809,2467,.733,1225,2540,3765,1666,790,277,1553,1983,8411
Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1974-75,NBA,ATL,31,51,4,,25.1,6-5,204,,82,19805,3424,7824,.438,,,,3424,7824,.438,1772,2435,.728,1441,2653,4094,1878,744,227,1550,1964,8620
1973-74,NBA,ATL,35,47,2,,27.1,6-6,205,,82,19755,3602,7744,.465,,,,3602,7744,.465,1703,2264,.752,1240,2712,3952,1993,758,332,1823,2073,8907
1972-73,NBA,ATL,46,36,2,,27.1,6-6,206,,82,19830,3700,8033,.461,,,,3700,8033,.461,1819,2482,.733,,,4174,2074,,,,1916,9219
1971-72,NBA,ATL,36,46,2,,26.8,6-6,209,,82,19730,3482,7570,.460,,,,3482,7570,.460,2018,2725,.741,,,4080,1897,,,,1967,8982
1970-71,NBA,ATL,36,46,2,,27.6,6-6,211,,82,19755,3614,7779,.465,,,,3614,7779,.465,2120,2975,.713,,,4472,1906,,,,1958,9348
1969-70,NBA,ATL,48,34,1,,27.3,6-5,210,,82,19780,3817,7907,.483,,,,3817,7907,.483,2012,2669,.754,,,4210,2142,,,,2016,9646
1968-69,NBA,ATL,48,34,2,,27.4,6-5,209,,82,19730,3605,7844,.460,,,,3605,7844,.460,1913,2785,.687,,,4599,2069,,,,2082,9123
1967-68,NBA,STL,56,26,1,,26.9,6-5,209,,82,19880,3504,7765,.451,,,,3504,7765,.451,2258,3111,.726,,,5325,1988,,,,2046,9266
1966-67,NBA,STL,39,42,2,,26.7,6-5,207,,81,19540,3547,8004,.443,,,,3547,8004,.443,2110,2979,.708,,,5219,1708,,,,2173,9204
1965-66,NBA,STL,36,44,3,,27.4,6-5,206,,80,19200,3379,7836,.431,,,,3379,7836,.431,2155,2870,.751,,,5167,1782,,,,2179,8913
1964-65,NBA,STL,45,35,2,,27.1,6-5,205,,80,19225,3269,7710,.424,,,,3269,7710,.424,2168,2947,.736,,,5208,1691,,,,2069,8706
1963-64,NBA,STL,46,34,2,,27.5,6-5,204,,80,,3341,7776,.430,,,,3341,7776,.430,2115,2795,.757,,,4959,1901,,,,2266,8797
1962-63,NBA,STL,48,32,2,,26.1,6-5,199,,80,,3355,7780,.431,,,,3355,7780,.431,2056,2820,.729,,,5096,1902,,,,2077,8766
1961-62,NBA,STL,29,51,4,,27.5,6-5,203,,80,,3641,8461,.430,,,,3641,8461,.430,2226,2939,.757,,,5557,1996,,,,2166,9508
1960-61,NBA,STL,51,28,1,,27.4,6-5,203,,79,,3618,8795,.411,,,,3618,8795,.411,2147,2921,.735,,,5994,2136,,,,2135,9383
1959-60,NBA,STL,46,29,1,,27.5,6-4,202,,75,,3179,7580,.419,,,,3179,7580,.419,2148,2885,.745,,,5343,1881,,,,1995,8506
1958-59,NBA,STL,49,23,1,,28.1,6-4,202,,72,,2879,7015,.410,,,,2879,7015,.410,2072,2757,.752,,,5045,1567,,,,1937,7830
1957-58,NBA,STL,41,31,1,,28.0,6-4,197,,72,,2779,7162,.388,,,,2779,7162,.388,2180,3047,.715,,,5445,1541,,,,1875,7738
1956-57,NBA,STL,34,38,1,,27.6,6-5,196,,72,,2557,6669,.383,,,,2557,6669,.383,1977,2710,.730,,,4566,1454,,,,1848,7091
1955-56,NBA,STL,33,39,3,,25.0,6-5,201,,72,,2506,6628,.378,,,,2506,6628,.378,1941,2761,.703,,,4493,1748,,,,1971,6953
Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1954-55,NBA,MLH,26,46,4,,26.2,6-5,201,,72,,2187,6041,.362,,,,2187,6041,.362,1917,2672,.717,,,3854,1544,,,,1904,6291
1953-54,NBA,MLH,21,51,4,,26.1,6-4,194,,72,,1757,5087,.345,,,,1757,5087,.345,1524,2202,.692,,,3202,1298,,,,1771,5038
1952-53,NBA,MLH,27,44,5,,26.2,6-4,199,,71,,1873,5320,.352,,,,1873,5320,.352,1643,2400,.685,,,3429,1427,,,,2120,5389
1951-52,NBA,MLH,17,49,5,,26.6,6-5,201,,66,,1674,5055,.331,,,,1674,5055,.331,1485,2177,.682,,,3540,1229,,,,1848,4833
1950-51,NBA,TRI,25,43,5,,,,,,68,,1988,6041,.329,,,,1988,6041,.329,1754,2425,.723,,,3715,1476,,,,2092,5730
1949-50,NBA,TRI,29,35,3,,,,,,64,,1818,5515,.330,,,,1818,5515,.330,1677,2308,.727,,,,1330,,,,2057,5313