2003-04,19,DEN,NBA,SF,82,82,36.5,7.6,17.9,.426,0.8,2.6,.322,6.8,15.3,.444,5.0,6.4,.777,2.2,3.8,6.1,2.8,1.2,0.5,3.0,2.7,21.0
2004-05,20,DEN,NBA,SF,75,75,34.8,7.1,16.4,.431,0.6,2.1,.266,6.5,14.3,.455,6.1,7.6,.796,1.9,3.8,5.7,2.6,0.9,0.4,3.0,3.1,20.8
2005-06,21,DEN,NBA,SF,80,80,36.8,9.5,19.7,.481,0.5,1.9,.243,9.0,17.8,.506,7.2,8.9,.808,1.5,3.4,4.9,2.7,1.1,0.5,2.7,2.9,26.5
2006-07 ★,22,DEN,NBA,SF,65,65,38.2,10.6,22.4,.476,0.6,2.3,.268,10.0,20.1,.499,7.1,8.7,.808,2.2,3.8,6.0,3.8,1.2,0.4,3.6,3.1,28.9
2007-08 ★,23,DEN,NBA,SF,77,77,36.4,9.5,19.2,.492,0.8,2.1,.354,8.7,17.1,.509,6.0,7.7,.786,2.3,5.1,7.4,3.4,1.3,0.5,3.3,3.3,25.7
2008-09,24,DEN,NBA,SF,66,66,34.5,8.1,18.3,.443,1.0,2.6,.371,7.2,15.7,.455,5.6,7.1,.793,1.6,5.2,6.8,3.4,1.1,0.4,3.0,3.0,22.8
2009-10 ★,25,DEN,NBA,SF,69,69,38.2,10.0,21.8,.458,0.9,2.7,.316,9.1,19.1,.478,7.4,8.9,.830,2.2,4.4,6.6,3.2,1.3,0.4,3.0,3.3,28.2
2010-11 ★,26,TOT,NBA,SF,77,77,35.7,8.9,19.5,.455,1.2,3.3,.378,7.6,16.3,.470,6.6,7.9,.838,1.5,5.8,7.3,2.9,0.9,0.6,2.7,2.9,25.6
2010-11 ★,26,DEN,NBA,SF,50,50,35.5,8.7,19.3,.452,0.8,2.5,.333,7.9,16.8,.470,6.9,8.3,.823,1.5,6.1,7.6,2.8,0.9,0.6,2.8,2.7,25.2
2010-11 ★,26,NYK,NBA,SF,27,27,36.2,9.1,19.9,.461,2.0,4.6,.424,7.2,15.2,.472,6.1,7.0,.872,1.5,5.2,6.7,3.0,0.9,0.6,2.4,3.3,26.3
2011-12 ★,27,NYK,NBA,SF,55,55,34.1,8.0,18.6,.430,1.2,3.7,.335,6.8,14.9,.454,5.4,6.7,.804,1.6,4.7,6.3,3.6,1.1,0.4,2.6,2.8,22.6
2012-13 ★,28,NYK,NBA,PF,67,67,37.0,10.0,22.2,.449,2.3,6.2,.379,7.6,16.0,.476,6.3,7.6,.830,2.0,4.9,6.9,2.6,0.8,0.5,2.6,3.1,28.7
2013-14 ★,29,NYK,NBA,PF,77,77,38.7,9.6,21.3,.452,2.2,5.4,.402,7.5,15.9,.469,6.0,7.0,.848,1.9,6.2,8.1,3.1,1.2,0.7,2.6,2.9,27.4
2014-15 ★,30,NYK,NBA,SF,40,40,35.7,9.0,20.2,.444,1.5,4.5,.341,7.4,15.7,.474,4.7,5.9,.797,1.8,4.8,6.6,3.1,1.0,0.4,2.2,2.2,24.2
Career,,,NBA,,830,830,36.5,9.0,19.7,.455,1.1,3.2,.345,7.9,16.5,.476,6.2,7.6,.811,1.9,4.6,6.6,3.1,1.1,0.5,2.9,3.0,25.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,DEN,NBA,,564,564,36.4,8.8,19.3,.459,0.7,2.3,.311,8.1,16.9,.479,6.4,7.9,.803,2.0,4.4,6.3,3.1,1.1,0.5,3.1,3.0,24.8
5 seasons,,NYK,NBA,,266,266,36.6,9.2,20.7,.447,1.9,5.0,.379,7.3,15.7,.469,5.8,6.9,.830,1.8,5.2,7.0,3.1,1.0,0.5,2.5,2.9,26.1