2005-06,20,NOK,NBA,PG,78,78,36.0,5.2,12.1,.430,0.6,2.3,.282,4.6,9.9,.464,5.1,6.0,.847,0.8,4.3,5.1,7.8,2.2,0.1,2.3,2.8,16.1
2006-07,21,NOK,NBA,PG,64,64,36.8,6.0,13.6,.437,0.8,2.2,.350,5.2,11.4,.455,4.6,5.6,.818,0.8,3.5,4.4,8.9,1.8,0.0,2.5,2.4,17.3
2007-08 ★,22,NOH,NBA,PG,80,80,37.6,7.9,16.1,.488,1.2,3.1,.369,6.7,13.0,.516,4.2,4.9,.851,0.8,3.2,4.0,11.6,2.7,0.1,2.5,2.3,21.1
2008-09 ★,23,NOH,NBA,PG,78,78,38.5,8.1,16.1,.503,0.8,2.3,.364,7.3,13.8,.525,5.8,6.7,.868,0.9,4.7,5.5,11.0,2.8,0.1,3.0,2.7,22.8
2009-10 ★,24,NOH,NBA,PG,45,45,38.0,7.0,14.2,.493,1.2,2.8,.409,5.8,11.3,.514,3.6,4.2,.847,0.4,3.8,4.2,10.7,2.1,0.2,2.5,2.6,18.7
2010-11 ★,25,NOH,NBA,PG,80,80,36.0,5.4,11.6,.463,0.9,2.3,.388,4.5,9.3,.482,4.2,4.8,.878,0.5,3.6,4.1,9.8,2.4,0.1,2.2,2.5,15.9
2011-12 ★,26,LAC,NBA,PG,60,60,36.4,7.1,14.8,.478,1.3,3.6,.371,5.8,11.3,.511,4.3,5.0,.861,0.7,2.9,3.6,9.1,2.5,0.1,2.1,2.3,19.8
2012-13 ★,27,LAC,NBA,PG,70,70,33.4,5.9,12.2,.481,1.1,3.3,.328,4.8,8.9,.538,4.1,4.6,.885,0.8,3.0,3.7,9.7,2.4,0.1,2.3,2.0,16.9
2013-14 ★,28,LAC,NBA,PG,62,62,35.0,6.5,14.0,.467,1.3,3.4,.368,5.3,10.6,.498,4.8,5.6,.855,0.6,3.7,4.3,10.7,2.5,0.1,2.3,2.5,19.1
2014-15 ★,29,LAC,NBA,PG,62,62,35.0,6.9,14.3,.480,1.6,4.1,.379,5.3,10.1,.521,3.3,3.7,.882,0.7,4.1,4.8,10.1,1.8,0.2,2.3,2.5,18.5
Career,,,NBA,,679,679,36.3,6.6,13.9,.473,1.0,2.9,.360,5.5,11.0,.503,4.4,5.2,.859,0.7,3.7,4.4,9.9,2.4,0.1,2.4,2.5,18.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,NOKNOH,NBA,,425,425,37.1,6.6,14.0,.471,0.9,2.5,.359,5.7,11.5,.495,4.6,5.4,.853,0.7,3.9,4.6,9.9,2.4,0.1,2.5,2.5,18.7
4 seasons,,LAC,NBA,,254,254,34.9,6.6,13.8,.476,1.3,3.6,.361,5.3,10.2,.517,4.1,4.7,.870,0.7,3.4,4.1,9.9,2.3,0.1,2.2,2.3,18.5