2003-04,22,MIA,NBA,PG,61,56,34.9,6.1,13.1,.465,0.3,0.9,.302,5.8,12.2,.477,3.8,5.1,.747,1.4,2.7,4.0,4.5,1.4,0.6,3.2,2.3,16.2
2004-05 ★,23,MIA,NBA,SG,77,77,38.6,8.2,17.1,.478,0.2,0.6,.289,8.0,16.5,.485,7.5,9.9,.762,1.4,3.7,5.2,6.8,1.6,1.1,4.2,3.0,24.1
2005-06 ★,24,MIA,NBA,SG,75,75,38.6,9.3,18.8,.495,0.2,1.0,.171,9.1,17.8,.513,8.4,10.7,.783,1.4,4.3,5.7,6.7,1.9,0.8,3.6,2.9,27.2
2006-07 ★,25,MIA,NBA,SG,51,50,37.9,9.3,18.9,.491,0.4,1.5,.266,8.8,17.3,.511,8.5,10.5,.807,1.0,3.7,4.7,7.5,2.1,1.2,4.2,2.3,27.4
2007-08 ★,26,MIA,NBA,SG,51,49,38.3,8.6,18.4,.469,0.4,1.5,.286,8.2,16.9,.485,6.9,9.2,.758,0.9,3.3,4.2,6.9,1.7,0.7,4.4,2.7,24.6
2008-09 ★,27,MIA,NBA,SG,79,79,38.6,10.8,22.0,.491,1.1,3.5,.317,9.7,18.5,.524,7.5,9.8,.765,1.1,3.9,5.0,7.5,2.2,1.3,3.4,2.3,30.2
2009-10 ★,28,MIA,NBA,SG,77,77,36.3,9.3,19.6,.476,0.9,3.2,.300,8.4,16.5,.509,6.9,9.1,.761,1.4,3.5,4.8,6.5,1.8,1.1,3.3,2.4,26.6
2010-11 ★,29,MIA,NBA,SG,76,76,37.1,9.1,18.2,.500,0.8,2.7,.306,8.3,15.5,.534,6.5,8.6,.758,1.6,4.8,6.4,4.6,1.5,1.1,3.1,2.6,25.5
2011-12 ★,30,MIA,NBA,SG,49,49,33.2,8.5,17.1,.497,0.3,1.1,.268,8.2,15.9,.513,4.8,6.1,.791,1.5,3.3,4.8,4.6,1.7,1.3,2.6,2.2,22.1
2012-13 ★,31,MIA,NBA,SG,69,69,34.7,8.2,15.8,.521,0.2,1.0,.258,8.0,14.9,.537,4.5,6.2,.725,1.2,3.7,5.0,5.1,1.9,0.8,2.8,2.0,21.2
2013-14 ★,32,MIA,NBA,SG,54,53,32.9,7.7,14.1,.545,0.2,0.6,.281,7.5,13.5,.557,3.5,4.8,.733,1.1,3.4,4.5,4.7,1.5,0.5,3.0,2.0,19.0
2014-15 ★,33,MIA,NBA,SG,43,43,31.8,8.0,17.0,.469,0.4,1.5,.266,7.6,15.5,.489,4.4,5.8,.752,1.0,2.8,3.8,5.3,1.2,0.4,3.4,1.9,20.7
Career,,,NBA,,762,753,36.3,8.7,17.7,.491,0.5,1.7,.288,8.2,16.0,.512,6.3,8.2,.765,1.3,3.7,4.9,5.9,1.7,0.9,3.4,2.4,24.1